folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_el,cd,periodo,sexo,edad,nivel,anio,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p7,p7_3,p8_1,p8_2,p9,p10,p11,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p13,p13_3,p14_1,p14_2,p15,p16,p17,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p26,p27,p28,p29,p30,p31,p32,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl,material_leido,cond_act_segmentado,nivel_segmentado
11B216,3,40011,1,1,0,1,40,223,1,63,0,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13683,0,0,0,0,0,0,0,0,2,0
11B216,3,40011,2,1,0,2,40,223,1,62,2,3,9,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,13683,2,4,2,0,0,0,2,0,0,0
11B216,3,40011,3,1,0,2,40,223,2,22,7,4,7,1,1,1,1,2,2,1,3,5,2,2,1,2,2,2,3,500,2,1,1,2,3,2,2,1,2,2,2,2,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,2,4,2,0,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,17602,1,2,1,2,1,0,1,5,0,2
11B216,3,40011,4,1,0,1,40,223,2,70,2,3,8,1,1,1,1,2,2,2,1,5,2,2,1,2,2,2,2,0,2,1,1,12,5,2,2,2,2,1,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,90,2,0,2,4,2,0,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,15587,1,2,1,2,2,0,1,13,0,0
12B201,3,40029,1,1,0,1,40,223,2,44,3,2,1,1,1,1,2,2,2,2,3,5,2,2,1,2,2,2,3,60,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,1,3,2,0,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,34064,1,1,1,2,0,0,1,3,2,1
12B201,3,40029,4,1,0,1,40,223,2,82,7,3,8,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,2,2,2,2,0,2,0,1,1,1,2,2,15962,4,4,2,0,0,0,2,0,0,2
12B201,3,40029,3,1,1,1,40,223,1,26,7,4,1,1,1,1,1,2,2,1,2,4,2,2,2,1,2,2,3,800,1,1,1,4,4,2,2,1,2,2,2,2,2,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,2,3,1,0,2,2,2,2,1,1,1,2,1,3,1,1,1,1,1,16834,1,2,1,3,1,0,1,6,2,2
12B201,3,40029,2,1,0,1,40,223,1,58,2,6,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,14012,4,4,2,0,0,0,2,0,2,0
13B213,3,40033,2,1,0,1,40,223,1,44,2,6,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,23162,4,4,2,0,0,0,2,0,2,0
13B213,3,40033,1,1,0,1,40,223,2,44,7,4,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,3,3,2,0,1,2,2,2,2,2,1,2,1,1,1,1,2,1,2,9072,3,3,1,0,0,0,2,0,2,2
13B213,3,40033,4,1,0,1,40,223,1,48,4,3,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,11351,2,4,2,0,0,0,2,0,2,1
13B213,3,40033,3,1,0,2,40,223,1,42,4,3,1,1,1,1,1,2,2,2,1,3,2,2,1,2,2,2,1,0,1,2,1,1,3,2,1,2,2,2,2,2,2,2,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,20,1,5,3,2,2,0,2,2,2,2,2,1,2,0,2,0,1,1,1,1,1,34742,1,2,1,1,2,0,1,2,2,1
13B202,3,40072,1,1,0,2,40,223,2,37,7,5,1,1,1,1,2,2,2,2,2,4,2,2,1,2,2,2,3,200,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,2,3,2,0,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,34846,1,1,1,2,0,0,1,2,2,2
13B202,3,40072,2,1,0,1,40,223,1,51,7,4,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,2,3,2,0,2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,29068,1,1,1,1,0,0,1,2,2,2
12A207,3,40106,1,1,0,1,40,223,1,38,3,3,1,1,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,2,1,2,2,2,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,3,3,2,0,1,2,2,2,2,1,1,2,2,0,1,1,1,2,1,18530,3,3,1,0,2,0,1,2,2,1
12A207,3,40106,2,1,2,1,40,223,1,22,7,3,6,1,1,1,2,2,2,1,1,2,2,1,2,2,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0,3,3,2,0,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2,11196,1,2,1,1,0,0,1,1,1,2
12A207,3,40106,3,1,0,1,40,223,1,77,2,6,8,1,1,1,2,2,2,2,2,5,2,1,1,2,2,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,2,3,2,0,2,2,2,2,2,2,2,0,2,0,1,1,2,2,2,25851,1,1,1,2,0,0,1,2,0,0
13B216,3,40121,3,1,0,1,40,223,1,27,3,3,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,2,2,0,1,1,2,1,2,22725,4,4,2,0,0,0,2,0,2,1
13B216,3,40121,2,1,0,1,40,223,2,26,7,4,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,2,0,1,2,1,1,1,9984,4,4,2,0,0,0,2,0,2,2
13B216,3,40121,4,1,0,2,40,223,2,47,7,5,1,1,1,1,2,2,2,1,3,1,1,2,1,2,2,2,3,700,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0,3,4,1,0,1,2,2,1,2,1,2,0,1,1,1,1,1,1,1,28457,1,2,1,2,0,0,1,3,2,2
13B216,3,40121,1,1,0,2,40,223,2,48,3,3,7,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,18970,4,4,2,0,0,0,2,0,0,1
11B202,3,40126,3,1,0,2,40,223,2,22,7,1,1,1,1,1,2,2,2,2,3,4,2,2,1,1,2,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,2,3,2,0,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,17106,1,1,1,2,0,0,1,3,2,2
