edad,sexo,entidad,nivel_segmentado,cond_act_segmentado,p26
48,2,Centro,1,2,90
37,1,Centro,1,2,30
36,2,Centro,1,2,60
21,2,Centro,1,0,0
30,2,Centro,1,0,0
65,2,Centro,2,0,0
25,2,Centro,1,0,60
23,2,Centro,1,0,0
51,1,Centro,0,2,0
37,2,Centro,1,2,90
70,1,Centro,0,0,15
37,2,Centro,1,0,60
72,2,Centro,1,0,0
32,2,Centro,1,2,0
64,2,Centro,0,0,0
64,1,Centro,1,2,20
38,1,Centro,1,2,0
32,1,Centro,1,2,25
80,1,Centro,0,0,0
81,1,Centro,0,0,0
30,1,Centro,1,2,0
21,2,Centro,1,2,0
46,2,Centro,1,2,45
73,2,Centro,0,0,0
41,2,Centro,2,2,35
42,2,Centro,1,0,0
65,1,Centro,2,2,30
36,2,Centro,1,2,15
23,2,Centro,1,1,60
32,2,Centro,1,0,0
45,2,Centro,1,1,40
60,2,Centro,2,2,15
61,2,Centro,1,0,20
73,2,Centro,0,0,20
44,2,Centro,2,2,10
65,2,Centro,1,0,30
65,2,Centro,1,0,0
30,1,Centro,0,2,0
47,2,Centro,1,2,0
18,1,Centro,1,2,10
26,2,Centro,2,2,60
31,1,Centro,1,2,60
23,2,Centro,1,2,45
42,2,Centro,1,0,30
37,2,Centro,0,0,0
51,1,Centro,1,2,0
63,1,Centro,1,0,0
27,1,Centro,2,2,40
38,2,Centro,1,2,10
34,1,Centro,2,2,30
60,2,Centro,2,2,35
65,1,Centro,1,2,25
38,2,Centro,2,0,35
26,1,Centro,1,2,30
22,2,Centro,1,2,20
51,1,Centro,2,2,180
28,1,Centro,1,2,0
64,2,Centro,2,0,35
28,1,Centro,2,2,45
51,2,Centro,2,2,45
65,2,Centro,2,0,20
39,2,Centro,1,2,0
64,2,Centro,0,2,30
48,2,Centro,0,0,0
47,2,Centro,2,1,180
79,2,Centro,0,0,0
64,2,Centro,1,0,20
73,2,Centro,0,0,20
66,2,Centro,1,0,0
73,2,Centro,0,0,0
48,2,Centro,0,0,0
38,2,Centro,2,0,0
25,2,Centro,2,2,0
48,1,Centro,1,2,0
38,1,Centro,2,2,0
52,1,Centro,2,2,60
34,1,Centro,1,2,60
56,2,Centro,1,2,15
33,1,Centro,1,2,60
47,1,Centro,1,2,0
29,2,Centro,1,0,30
34,2,Centro,1,0,0
42,2,Centro,2,2,30
65,2,Centro,2,0,120
24,1,Centro,2,2,60
78,2,Centro,1,0,30
35,1,Centro,2,2,45
79,2,Centro,1,0,60
54,1,Centro,2,2,30
62,1,Centro,2,2,60
47,2,Centro,1,0,20
28,2,Centro,1,0,60
29,2,Centro,1,1,60
40,1,Centro,1,2,30
40,2,Centro,1,0,0
26,2,Centro,1,0,0
18,2,Centro,1,1,30
37,1,Centro,1,2,15
59,1,Centro,1,2,30
27,1,Centro,2,2,60
60,2,Centro,1,0,15
77,2,Centro,0,0,0
39,1,Centro,2,2,120
73,1,Centro,1,0,60
21,1,Centro,1,2,10
26,2,Centro,1,2,120
28,2,Centro,1,0,0
42,2,Centro,1,2,0
27,2,Centro,1,2,30
30,2,Centro,1,0,20
31,2,Centro,1,0,0
22,2,Centro,1,0,20
47,2,Centro,1,0,20
49,2,Centro,1,0,0
49,1,Centro,1,2,0
66,1,Centro,0,0,0
72,2,Centro,1,0,10
51,2,Centro,1,0,0
73,2,Centro,0,0,0
73,2,Centro,0,0,30
56,2,Centro,2,2,120
53,2,Centro,2,0,60
47,2,Centro,2,2,0
86,2,Centro,1,0,0
28,2,Centro,1,2,20
53,2,Centro,1,0,0
56,2,Centro,0,0,0
47,2,Centro,0,0,20
52,2,Centro,2,0,30
37,1,Centro,2,2,40
49,2,Centro,1,0,0
44,2,Centro,1,0,20
59,2,Centro,1,0,10
18,1,Centro,1,2,0
21,2,Centro,1,1,60
63,2,Centro,1,0,0
38,2,Centro,1,0,10
19,2,Centro,1,1,0
40,2,Centro,1,0,10
42,2,Centro,1,0,0
